id_sample,TTI
0,1.0789
1,1.05762
2,1.07482
3,1.72275
4,1.82338
5,1.9763
6,1.11895
7,1.16228
8,1.1544
9,1.2566
10,1.31239
11,1.34441
12,2.10077
13,2.05553
14,1.99161
15,2.74388
16,2.7212
17,2.80792
18,1.80509
19,1.48378
20,1.33241
21,1.1417
22,1.17905
23,1.24482
24,1.76647
25,1.65176
26,1.6778099999999998
27,1.62379
28,1.58636
29,1.4798
30,1.79635
31,1.82777
32,2.15614
33,1.53342
34,1.55625
35,1.51586
36,1.50056
37,1.59964
38,1.71216
39,1.37873
40,1.30027
41,1.20495
42,1.06139
43,1.0925
44,1.07592
45,1.47195
46,1.43156
47,1.48888
48,1.18891
49,1.21586
50,1.17931
51,2.65741
52,2.8546
53,2.74615
54,1.8408
55,1.75205
56,1.7149599999999998
57,1.79285
58,1.7997599999999998
59,1.7638200000000002
60,1.46203
61,1.52691
62,1.4482
63,1.25383
64,1.41286
65,1.48293
66,1.51678
67,1.30139
68,1.26014
69,1.1676799999999998
70,1.16243
71,1.43343
72,1.71284
73,1.93478
74,1.91417
75,2.43598
76,2.2972
77,2.24995
78,1.88288
79,2.40788
80,3.64391
81,1.13357
82,1.13373
83,1.1308200000000002
84,1.11056
85,1.0965
86,1.11778
87,1.19907
88,1.14946
89,1.18398
90,1.16412
91,1.15134
92,1.15559
93,1.1735
94,1.17506
95,1.20984
96,1.24852
97,1.4227
98,1.35874
99,1.59182
100,1.541
101,1.50156
102,1.26453
103,1.26986
104,1.24471
105,1.09475
106,1.11299
107,1.14271
108,1.36309
109,1.18008
110,1.16072
111,1.28617
112,1.22701
113,1.15618
114,1.23298
115,1.14789
116,1.21661
117,1.2029299999999998
118,1.18501
119,1.2069299999999998
120,1.3541299999999998
121,1.38771
122,1.7015900000000002
123,1.1936
124,1.18476
125,1.18259
126,1.13755
127,1.15364
128,1.14507
129,1.14479
130,1.16738
131,1.21962
132,1.14662
133,1.1540700000000002
134,1.16132
135,1.16943
136,1.17031
137,1.19386
138,1.16608
139,1.16753
140,1.13039
141,1.18375
142,1.1764
143,1.17467
144,1.18379
145,1.18341
146,1.21052
147,1.0825
148,1.07361
149,1.08518
150,1.16252
151,1.16444
152,1.16297
153,1.21154
154,1.15161
155,1.15556
156,1.20061
157,1.28578
158,1.25593
159,1.17898
160,1.1745
161,1.22715
162,1.26189
163,1.26252
164,1.1695799999999998
165,1.36824
166,1.3788200000000002
167,1.38683
168,1.06963
169,1.08084
170,1.09722
171,1.13781
172,1.1451
173,1.17381
174,1.18189
175,1.15024
176,1.11544
177,1.1284299999999998
178,1.13716
179,1.1183
180,1.18226
181,1.23491
182,1.18634
183,1.30815
184,1.27604
185,1.29086
186,1.20769
187,1.22582
188,1.23604
189,1.12906
190,1.14953
191,1.1981700000000002
192,1.24589
193,1.16477
194,1.14933
195,1.13795
196,1.13283
197,1.1226
198,1.20264
199,1.20226
200,1.2455
201,1.36284
202,1.4166299999999998
203,1.34968
204,1.17813
205,1.15857
